# SlipX generated track: a stadium, two 8 m straights and two 3 m ends.
# NOT a real venue. Generated by examples/tracks/make_tracks.py.
# Apache-2.0, like the rest of this repository.
#
# Four columns, the form used by the TUM racetrack database and the
# F1TENTH set derived from it. Arc length is derived by the loader,
# not read, so there is no column for it.
# x_m,y_m,w_tr_right_m,w_tr_left_m
4.410668,-2.971759,0.750000,0.750000
4.509621,-2.956398,0.750000,0.750000
4.608005,-2.937742,0.750000,0.750000
4.705713,-2.915814,0.750000,0.750000
4.802634,-2.890636,0.750000,0.750000
4.898660,-2.862239,0.750000,0.750000
4.993686,-2.830652,0.750000,0.750000
5.087604,-2.795911,0.750000,0.750000
5.180311,-2.758055,0.750000,0.750000
5.271702,-2.717126,0.750000,0.750000
5.361677,-2.673170,0.750000,0.750000
5.450134,-2.626235,0.750000,0.750000
5.536976,-2.576374,0.750000,0.750000
5.622105,-2.523643,0.750000,0.750000
5.705427,-2.468100,0.750000,0.750000
5.786849,-2.409807,0.750000,0.750000
5.866280,-2.348830,0.750000,0.750000
5.943631,-2.285235,0.750000,0.750000
6.018817,-2.219094,0.750000,0.750000
6.091754,-2.150480,0.750000,0.750000
6.162360,-2.079471,0.750000,0.750000
6.230557,-2.006144,0.750000,0.750000
6.296269,-1.930583,0.750000,0.750000
6.359422,-1.852870,0.750000,0.750000
6.419946,-1.773093,0.750000,0.750000
6.477774,-1.691341,0.750000,0.750000
6.532842,-1.607704,0.750000,0.750000
6.585087,-1.522276,0.750000,0.750000
6.634453,-1.435151,0.750000,0.750000
6.680883,-1.346428,0.750000,0.750000
6.724326,-1.256205,0.750000,0.750000
6.764733,-1.164581,0.750000,0.750000
6.802060,-1.071661,0.750000,0.750000
6.836266,-0.977546,0.750000,0.750000
6.867311,-0.882342,0.750000,0.750000
6.895161,-0.786155,0.750000,0.750000
6.919786,-0.689093,0.750000,0.750000
6.941158,-0.591262,0.750000,0.750000
6.959252,-0.492773,0.750000,0.750000
6.974050,-0.393734,0.750000,0.750000
6.985534,-0.294257,0.750000,0.750000
6.993691,-0.194452,0.750000,0.750000
6.998513,-0.094431,0.750000,0.750000
6.999995,0.005696,0.750000,0.750000
6.998133,0.105817,0.750000,0.750000
6.992931,0.205819,0.750000,0.750000
6.984395,0.305592,0.750000,0.750000
6.972533,0.405025,0.750000,0.750000
6.957360,0.504007,0.750000,0.750000
6.938891,0.602426,0.750000,0.750000
6.917148,0.700175,0.750000,0.750000
6.892155,0.797144,0.750000,0.750000
6.863940,0.893224,0.750000,0.750000
6.832533,0.988310,0.750000,0.750000
6.797971,1.082294,0.750000,0.750000
6.760291,1.175072,0.750000,0.750000
6.719536,1.266541,0.750000,0.750000
6.675750,1.356599,0.750000,0.750000
6.628984,1.445145,0.750000,0.750000
6.579288,1.532081,0.750000,0.750000
6.526719,1.617310,0.750000,0.750000
6.471334,1.700738,0.750000,0.750000
6.413196,1.782270,0.750000,0.750000
6.352369,1.861817,0.750000,0.750000
6.288921,1.939289,0.750000,0.750000
6.222923,2.014600,0.750000,0.750000
6.154448,2.087667,0.750000,0.750000
6.083573,2.158408,0.750000,0.750000
6.010376,2.226744,0.750000,0.750000
5.934939,2.292599,0.750000,0.750000
5.857347,2.355900,0.750000,0.750000
5.777685,2.416575,0.750000,0.750000
5.696042,2.474559,0.750000,0.750000
5.612510,2.529785,0.750000,0.750000
5.527181,2.582192,0.750000,0.750000
5.440151,2.631723,0.750000,0.750000
5.351516,2.678321,0.750000,0.750000
5.261375,2.721936,0.750000,0.750000
5.169829,2.762517,0.750000,0.750000
5.076979,2.800021,0.750000,0.750000
4.982930,2.834405,0.750000,0.750000
4.887785,2.865630,0.750000,0.750000
4.791651,2.893664,0.750000,0.750000
4.694635,2.918473,0.750000,0.750000
4.596845,2.940030,0.750000,0.750000
4.498391,2.958311,0.750000,0.750000
4.399380,2.973297,0.750000,0.750000
4.299925,2.984970,0.750000,0.750000
4.200136,2.993317,0.750000,0.750000
4.100124,2.998329,0.750000,0.750000
4.000000,3.000000,0.750000,0.750000
3.899858,3.000000,0.750000,0.750000
3.799715,3.000000,0.750000,0.750000
3.699573,3.000000,0.750000,0.750000
3.599430,3.000000,0.750000,0.750000
3.499288,3.000000,0.750000,0.750000
3.399146,3.000000,0.750000,0.750000
3.299003,3.000000,0.750000,0.750000
3.198861,3.000000,0.750000,0.750000
3.098718,3.000000,0.750000,0.750000
2.998576,3.000000,0.750000,0.750000
2.898434,3.000000,0.750000,0.750000
2.798291,3.000000,0.750000,0.750000
2.698149,3.000000,0.750000,0.750000
2.598006,3.000000,0.750000,0.750000
2.497864,3.000000,0.750000,0.750000
2.397722,3.000000,0.750000,0.750000
2.297579,3.000000,0.750000,0.750000
2.197437,3.000000,0.750000,0.750000
2.097294,3.000000,0.750000,0.750000
1.997152,3.000000,0.750000,0.750000
1.897010,3.000000,0.750000,0.750000
1.796867,3.000000,0.750000,0.750000
1.696725,3.000000,0.750000,0.750000
1.596582,3.000000,0.750000,0.750000
1.496440,3.000000,0.750000,0.750000
1.396298,3.000000,0.750000,0.750000
1.296155,3.000000,0.750000,0.750000
1.196013,3.000000,0.750000,0.750000
1.095870,3.000000,0.750000,0.750000
0.995728,3.000000,0.750000,0.750000
0.895586,3.000000,0.750000,0.750000
0.795443,3.000000,0.750000,0.750000
0.695301,3.000000,0.750000,0.750000
0.595158,3.000000,0.750000,0.750000
0.495016,3.000000,0.750000,0.750000
0.394874,3.000000,0.750000,0.750000
0.294731,3.000000,0.750000,0.750000
0.194589,3.000000,0.750000,0.750000
0.094446,3.000000,0.750000,0.750000
-0.005696,3.000000,0.750000,0.750000
-0.105838,3.000000,0.750000,0.750000
-0.205981,3.000000,0.750000,0.750000
-0.306123,3.000000,0.750000,0.750000
-0.406266,3.000000,0.750000,0.750000
-0.506408,3.000000,0.750000,0.750000
-0.606550,3.000000,0.750000,0.750000
-0.706693,3.000000,0.750000,0.750000
-0.806835,3.000000,0.750000,0.750000
-0.906978,3.000000,0.750000,0.750000
-1.007120,3.000000,0.750000,0.750000
-1.107263,3.000000,0.750000,0.750000
-1.207405,3.000000,0.750000,0.750000
-1.307547,3.000000,0.750000,0.750000
-1.407690,3.000000,0.750000,0.750000
-1.507832,3.000000,0.750000,0.750000
-1.607975,3.000000,0.750000,0.750000
-1.708117,3.000000,0.750000,0.750000
-1.808259,3.000000,0.750000,0.750000
-1.908402,3.000000,0.750000,0.750000
-2.008544,3.000000,0.750000,0.750000
-2.108687,3.000000,0.750000,0.750000
-2.208829,3.000000,0.750000,0.750000
-2.308971,3.000000,0.750000,0.750000
-2.409114,3.000000,0.750000,0.750000
-2.509256,3.000000,0.750000,0.750000
-2.609399,3.000000,0.750000,0.750000
-2.709541,3.000000,0.750000,0.750000
-2.809683,3.000000,0.750000,0.750000
-2.909826,3.000000,0.750000,0.750000
-3.009968,3.000000,0.750000,0.750000
-3.110111,3.000000,0.750000,0.750000
-3.210253,3.000000,0.750000,0.750000
-3.310395,3.000000,0.750000,0.750000
-3.410538,3.000000,0.750000,0.750000
-3.510680,3.000000,0.750000,0.750000
-3.610823,3.000000,0.750000,0.750000
-3.710965,3.000000,0.750000,0.750000
-3.811107,3.000000,0.750000,0.750000
-3.911250,3.000000,0.750000,0.750000
-4.011392,2.999978,0.750000,0.750000
-4.111509,2.997927,0.750000,0.750000
-4.211501,2.992535,0.750000,0.750000
-4.311258,2.983809,0.750000,0.750000
-4.410668,2.971759,0.750000,0.750000
-4.509621,2.956398,0.750000,0.750000
-4.608005,2.937742,0.750000,0.750000
-4.705713,2.915814,0.750000,0.750000
-4.802634,2.890636,0.750000,0.750000
-4.898660,2.862239,0.750000,0.750000
-4.993686,2.830652,0.750000,0.750000
-5.087604,2.795911,0.750000,0.750000
-5.180311,2.758055,0.750000,0.750000
-5.271702,2.717126,0.750000,0.750000
-5.361677,2.673170,0.750000,0.750000
-5.450134,2.626235,0.750000,0.750000
-5.536976,2.576374,0.750000,0.750000
-5.622105,2.523643,0.750000,0.750000
-5.705427,2.468100,0.750000,0.750000
-5.786849,2.409807,0.750000,0.750000
-5.866280,2.348830,0.750000,0.750000
-5.943631,2.285235,0.750000,0.750000
-6.018817,2.219094,0.750000,0.750000
-6.091754,2.150480,0.750000,0.750000
-6.162360,2.079471,0.750000,0.750000
-6.230557,2.006144,0.750000,0.750000
-6.296269,1.930583,0.750000,0.750000
-6.359422,1.852870,0.750000,0.750000
-6.419946,1.773093,0.750000,0.750000
-6.477774,1.691341,0.750000,0.750000
-6.532842,1.607704,0.750000,0.750000
-6.585087,1.522276,0.750000,0.750000
-6.634453,1.435151,0.750000,0.750000
-6.680883,1.346428,0.750000,0.750000
-6.724326,1.256205,0.750000,0.750000
-6.764733,1.164581,0.750000,0.750000
-6.802060,1.071661,0.750000,0.750000
-6.836266,0.977546,0.750000,0.750000
-6.867311,0.882342,0.750000,0.750000
-6.895161,0.786155,0.750000,0.750000
-6.919786,0.689093,0.750000,0.750000
-6.941158,0.591262,0.750000,0.750000
-6.959252,0.492773,0.750000,0.750000
-6.974050,0.393734,0.750000,0.750000
-6.985534,0.294257,0.750000,0.750000
-6.993691,0.194452,0.750000,0.750000
-6.998513,0.094431,0.750000,0.750000
-6.999995,-0.005696,0.750000,0.750000
-6.998133,-0.105817,0.750000,0.750000
-6.992931,-0.205819,0.750000,0.750000
-6.984395,-0.305592,0.750000,0.750000
-6.972533,-0.405025,0.750000,0.750000
-6.957360,-0.504007,0.750000,0.750000
-6.938891,-0.602426,0.750000,0.750000
-6.917148,-0.700175,0.750000,0.750000
-6.892155,-0.797144,0.750000,0.750000
-6.863940,-0.893224,0.750000,0.750000
-6.832533,-0.988310,0.750000,0.750000
-6.797971,-1.082294,0.750000,0.750000
-6.760291,-1.175072,0.750000,0.750000
-6.719536,-1.266541,0.750000,0.750000
-6.675750,-1.356599,0.750000,0.750000
-6.628984,-1.445145,0.750000,0.750000
-6.579288,-1.532081,0.750000,0.750000
-6.526719,-1.617310,0.750000,0.750000
-6.471334,-1.700738,0.750000,0.750000
-6.413196,-1.782270,0.750000,0.750000
-6.352369,-1.861817,0.750000,0.750000
-6.288921,-1.939289,0.750000,0.750000
-6.222923,-2.014600,0.750000,0.750000
-6.154448,-2.087667,0.750000,0.750000
-6.083573,-2.158408,0.750000,0.750000
-6.010376,-2.226744,0.750000,0.750000
-5.934939,-2.292599,0.750000,0.750000
-5.857347,-2.355900,0.750000,0.750000
-5.777685,-2.416575,0.750000,0.750000
-5.696042,-2.474559,0.750000,0.750000
-5.612510,-2.529785,0.750000,0.750000
-5.527181,-2.582192,0.750000,0.750000
-5.440151,-2.631723,0.750000,0.750000
-5.351516,-2.678321,0.750000,0.750000
-5.261375,-2.721936,0.750000,0.750000
-5.169829,-2.762517,0.750000,0.750000
-5.076979,-2.800021,0.750000,0.750000
-4.982930,-2.834405,0.750000,0.750000
-4.887785,-2.865630,0.750000,0.750000
-4.791651,-2.893664,0.750000,0.750000
-4.694635,-2.918473,0.750000,0.750000
-4.596845,-2.940030,0.750000,0.750000
-4.498391,-2.958311,0.750000,0.750000
-4.399380,-2.973297,0.750000,0.750000
-4.299925,-2.984970,0.750000,0.750000
-4.200136,-2.993317,0.750000,0.750000
-4.100124,-2.998329,0.750000,0.750000
